Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 10, estrofe 24, verso 5;Mas vingome que os bens mal repartidos;Mas vingome que os bens malrepartidos
Canto 10, estrofe 24, verso 6;Por quem so doces sombras apresenta,;Por quem so doces sumbras apresenta,
Canto 10, estrofe 24, verso 7;Se não os dão a sabios caualeiros,;Se não os dam a sabios caualeiros,
Canto 10, estrofe 25, verso 1;Mas tu de quem ficou tão mal pagado;Mas tu de quem ficou tam mal pagado
Canto 10, estrofe 25, verso 3;Se não es pera darlhe honroso estado,;Se names pera darlhe honroso estado,
Canto 10, estrofe 26, verso 3;O filho, que no mar serâ illustrado;O filho, que no mar sera illustrado
Canto 10, estrofe 26, verso 7;Fazendo nella Rey leal, & humano,;Fazendo nella Rey leal & humano,
Canto 10, estrofe 26, verso 8;Deitado fora o perfido Tirano.;Deitado fora o perfilo Tirano.
Canto 10, estrofe 27, verso 1;Tambem farão Mombaça, que se arrea;Tambem faram Mombaça, que se arrea
Canto 10, estrofe 27, verso 2;De casas sumptuosas, & edificios,;De casas sumptuosas & edificios,
Canto 10, estrofe 27, verso 3;Co ferro, e fogo seu, queimada, & fea,;Co ferro & fogo seu, queimada & fea,
Canto 10, estrofe 27, verso 5;Despois na costa da India, andando chea;Despois na costa da lndia, andando chea
Canto 10, estrofe 28, verso 2;Que encherão todo o mar, con ferrea pela,;Que encheram todo o mar, coa ferrea pela
Canto 10, estrofe 28, verso 3;Que sae com trovão do cobre ardente,;Que sae com trouão do cobre ardente,
Canto 10, estrofe 28, verso 4;Farà pedaços leme, masto, vela,;Fara pedaços leme, masto, vela,
Canto 10, estrofe 28, verso 5;Despois lançando arpeos ousadamente;Despois linçando arpeos ousadamente
Canto 10, estrofe 28, verso 7;Saltando, a farâ so com lança & espada;Saltando, a fara so com lança & espada
Canto 10, estrofe 28, verso 8;De quatrocentos Mouros despejada.;De quatro centos Mouros despejada.
Canto 10, estrofe 29, verso 3;O porâ onde esforço, nem prudencia;O pora onde esforço, nem prudencia
Canto 10, estrofe 29, verso 4;Poderâ auer, que a vida lhe reserue:;Podera auer que a vida lhe reserue:
Canto 10, estrofe 29, verso 6;O mar todo com fogo e ferro ferue,;O mar todo com fogo & ferro ferue,
Canto 10, estrofe 29, verso 7;Lhe farão, que com vida se não saya;Lhe faram que com vida se nam saya
Canto 10, estrofe 30, verso 2;Que o grande esforço, so com força rende,;Que o grande esforço, so com força rende
Canto 10, estrofe 30, verso 3;Os ventos que faltárão, e os perigos;Os ventos que faltàram & os perigos
Canto 10, estrofe 30, verso 4;Domar, que sobejârão, tudo o ofende:;Do mar que sobejàram, tudo o offende.
Canto 10, estrofe 30, verso 5;Aqui resurjão todos os antigos,;Aqui resurjam todos os antigos,
Canto 10, estrofe 30, verso 6;A ver o nobre ardor, que aqui se aprende,;A ver o nobre ardor que aqui se aprende,
Canto 10, estrofe 30, verso 7;Outro Sceua verão, que espedaçado;Outro Sceua verão que espedaçado
Canto 10, estrofe 30, verso 8;Não sabe ser rendido, nem domado.;Nam sabe ser rendido nem domado.
Canto 10, estrofe 31, verso 1;Com toda hũa coxa fora, que em pedaços;Com toda hũa coxa fora que em pedaços
Canto 10, estrofe 31, verso 2;Lhe leua hum cego tiro, que passara,;Lhe leua hum cego tiro que passara,
Canto 10, estrofe 31, verso 4;E do grão coração, que lhe ficâra:;E do gram coraçam que lhe ficàra:
Canto 10, estrofe 31, verso 6;Com que ço alma o corpo se liâra,;Com que co alma o corpo se liara,
Canto 10, estrofe 32, verso 1;Vâyte alma em paz da guerra turbulenta,;Vayte alma em paz da guerra turbulenta,
Canto 10, estrofe 32, verso 3;Que o corpo que em pedaços se apresenta,;Que o corpo que em pedaços se apresenta
Canto 10, estrofe 32, verso 5;Que eu ouço retumbar a grāo tormenta,;Que eu ouço retumbar a gram tormenta,
Canto 10, estrofe 32, verso 6;Que vem ja dar a dura, & eterna pena,;Que vem ja dar a dura & eterna pena,
Canto 10, estrofe 32, verso 7;De Esperas, Basiliscos, & Trabucos,;De Esperas, Basiliscos, & trabucos,
Canto 10, estrofe 32, verso 8;A Cambalcos crueis, & Mamelucos.;A Cambaicos crueis & a Mamelucos.
Canto 10, estrofe 33, verso 2;Trazendo furia & magoa por antolhos,;Trazendo furia & magoa por antolhos
Canto 10, estrofe 33, verso 3;Com que o paterno amor lhe estâ mouendo;Com que o paterno amor lhe está mouendo
Canto 10, estrofe 33, verso 4;Fogo no coração, agoa nos olhos:;Fogo no coraçam, agoa nos olhos:
Canto 10, estrofe 33, verso 5;A nobre yra lhe vinha prometendo,;A nobre yra lhe vinha prometendo
Canto 10, estrofe 33, verso 6;Que o sangue farâ dar pellos giolhos;Que o sangue fara dar pellos giolhos
Canto 10, estrofe 33, verso 8;Podélo ha o Indo ver, & o Gange ouuilo.;Podêlo ha o Indo ver & o Gange ouuilo.
Canto 10, estrofe 34, verso 3;No tronco dhum Carualho, ou alta Faya;No tronco dhum Carualho ou alta Faya
Canto 10, estrofe 34, verso 4;E o âr ferindo, as forças esprimenta:;E o ar ferindo, as forças esprimenta:
Canto 10, estrofe 35, verso 2;De Dio, illustre em cercos e batalhas,;De Dio, illustre em cercos & batalhas,
Canto 10, estrofe 35, verso 3;Farâ espalhar a fraca & grande armada,;Fara espalhar a fraca & grande armada
Canto 10, estrofe 35, verso 7;Farâ yr ver o frio e fundo assento,;Fara yr ver o frio & fundo assento,
Canto 10, estrofe 36, verso 2;A furia esperarà dos vingadores,;A furia esperara dos vingadores,
Canto 10, estrofe 36, verso 3;Verâ braços & pernas yr nadando,;Verá braços & pernas yr nadando,
Canto 10, estrofe 36, verso 4;Sem corpos, pello mar, de seus senhores,;Sem corpos, pello mar de seus senhores,
Canto 10, estrofe 36, verso 5;Rayos de fogo yrão representando,;Rayos de fogo yram representando,
Canto 10, estrofe 36, verso 7;Quanto ali sentirão olhos, & ouuidos,;Quanto ali sentiram olhos & ouuidos,
Canto 10, estrofe 36, verso 8;E fumo, ferro, flamas e alaridos.;E fumo, ferro, flamas & alaridos.
Canto 10, estrofe 37, verso 2;Com que despois virâ ao patrio Tejo,;Com que despois virà ao patrio Tejo
Canto 10, estrofe 37, verso 3;Quasi lhe roubarâ a famosa gloria;Quasi lhe roubarà a famosa gloria
Canto 10, estrofe 37, verso 4;Hum successo que triste & negro vejo,;Hum successo que triste & negro vejo
Canto 10, estrofe 37, verso 5;O Cabo Tormentorio, que a memoria;O Cabo Tormentorio que a memoria
Canto 10, estrofe 37, verso 6;Cos ossos guardarâ: não terâ pejo;Cos ossos guardará: nam tera pejo
Canto 10, estrofe 37, verso 7;De tirar deste mundo aquelle esprito,;De tirar deste mundo aquelle estrito,
Canto 10, estrofe 37, verso 8;Que não tirarão toda a India, & Egito.;Que nam tiraram toda a India & Egito,
Canto 10, estrofe 38, verso 1;Ali Cafres Seluagens poderão,;Ali Cafres seluagens poderam,
Canto 10, estrofe 38, verso 2;O que destros immigos não podêrão,;O que destros immigos nam podèram,
Canto 10, estrofe 38, verso 3;E rudos paos tostados sos farão,;E rudos paos tostados sos faram,
Canto 10, estrofe 38, verso 4;O que arcos & pelouros não fizerão;O que arcos, & pelouros nam fizeram,
Canto 10, estrofe 38, verso 6;As gentes vaãs que não nos entenderão,;As gentes vaãs que nam nos entenderam,
Canto 10, estrofe 38, verso 7;Chamāolhe fado mao, fortuna escura,;Chamãolhe fado mao, fortuna escura,
Canto 10, estrofe 39, verso 2;Dizia a Ninfa, e a voz aleuantaua,;Dizia a Ninfa, & a voz aleuantaua,
Canto 10, estrofe 39, verso 6;Serâ seu nome, em todo o mar que laua;Sera seu nome, em todo o mar que laua
Canto 10, estrofe 39, verso 7;As ilhas do Austro, e praias, que se chamão;As ilhas do Austro, & praias, q̃ se chamão
Canto 10, estrofe 39, verso 8;De sam Lourēço, & em todo o Sul se afamão.;De sam Lourẽço, & ẽ todo o Sul se afamão.
Canto 10, estrofe 40, verso 2;Armas, com que Albuquerque yra amãsan;Armas, com q̃ o Albuquerque yra amãsando
Canto 10, estrofe 40, verso 3;De Ormuz os Parseos, por seu mal valentes,;De Ornuz os Parseos, por seu mal valentes,
Canto 10, estrofe 40, verso 4;Que refusam o jugo honroso & brando.;Que refusam o jugo honroso & brando:
Canto 10, estrofe 41, verso 1;Ali do sal os montes não defendem;Ali do salos montes nam defendem
Canto 10, estrofe 41, verso 2;De corrupção os corpos no combate,;De corrupçam os corpos no combate,
Canto 10, estrofe 41, verso 3;Que mortos pella praya, & mar se estendem;Que mortos polla proya, & mar se estendem
Canto 10, estrofe 41, verso 4;De Gerum, de Mazcate, e Calayate:;De Gerum, de Mazcate, & Calayate:
Canto 10, estrofe 41, verso 5;Ate que a força so de braço aprendem;Ate que a forço so de braço aprendem
Canto 10, estrofe 41, verso 7;Obrigação de dar o reyno inico;Obrigaçam de dar o reyno inico
Canto 10, estrofe 42, verso 1;Que gloriosas palmas tecer vejo,;Que gloriosas palmos tecer vejo,
Canto 10, estrofe 42, verso 6;A deixa, & ocasião espera boa,;A deixa, & occasiam espera boa,
Canto 10, estrofe 42, verso 7;Com que a torne a tomar, que esforço & arte;Com q̃ a torne a tomar, que e forço & arte
Canto 10, estrofe 42, verso 8;Vencerão a fortuna, & o proprio Marte.;Venceram a fortuna, & o proprio Marte.
Canto 10, estrofe 43, verso 1;Eis ja sobrella torna & vây rompendo;Eis ja sobrella torna & vày rompendo
Canto 10, estrofe 43, verso 2;Por muros, fogo, lanças, & pilouros;Por muros fogo,lanças & pilouros,
Canto 10, estrofe 43, verso 3;Abrindo cõ a espada o espesso, & horrendo;Abrindo com a espada o espesso, & herendo
Canto 10, estrofe 43, verso 4;Esquadrão de Gentios, & de Mouros:;Esquadram de Gentios, & de Mouros:
Canto 10, estrofe 43, verso 5;Irão soldados inclitos fazendo;lram soldados inclitos fazendo
Canto 10, estrofe 43, verso 6;Mais que Liões famelicos, & Touros,;Mais que Latões famelicos & Touros,
Canto 10, estrofe 43, verso 7;Na luz que sempre celebrada & dina;Na iuz que sempre celebrada & dina
Canto 10, estrofe 44, verso 3;La no gremio da Aurora, onde naceste,;La no gremio da Aurora onde naceste,
Canto 10, estrofe 44, verso 5;As setas venenosas que fizeste,;As setas venemes s que fizeste,
Canto 10, estrofe 44, verso 7;Malaios namorados, Iaos valentes;Malaios namorados, Iaos valentes.
Canto 10, estrofe 44, verso 8;Todos faras ao Luso obedientes.;Tudos faras ao Luso obedentes.
Canto 10, estrofe 45, verso 1;Mais estanças cantâra esta Syrena;Mais estanças cantára esta Syrena
Canto 10, estrofe 45, verso 2;Em louuor do illustrissimo Albuquerque,;Em louuor do, illustrissimo Albuquerque,
Canto 10, estrofe 45, verso 3;Mas alembroulhe hũa yra que o condena,;Mas alembrote hũa yra que o condena
Canto 10, estrofe 45, verso 4;Posto que a fama sua o mundo cerque:;Posto que a fama sui o mundo cerque:
Canto 10, estrofe 45, verso 5;O grande capitão, que o fado ordena;O grande capitam, que o fado ordena
Canto 10, estrofe 45, verso 6;Que com trabalhos gloria eterna merque,;Que com trabalhos gloria eti rna merque,
Canto 10, estrofe 46, verso 2;Doenças, frechas, & trouoẽs ardentes,;Doenças frehas, & trouões ardentes,
Canto 10, estrofe 46, verso 3;A sazão, e o lugar fazem cruezas;A sazam & o lugar fizem cruezas
Canto 10, estrofe 47, verso 1;Não serâ a culpa abominoso incesto,;Nam serà a culpa abominoso incesto,
Canto 10, estrofe 47, verso 4;Mas cũa escrava vil lasciua & escura:;Mas cũa escraua vil lasciua & escura:
Canto 10, estrofe 47, verso 7;Cos seus hũa ira insana não refrea,;Cos seus hũa ira insana nam refrea,
Canto 10, estrofe 48, verso 2;Da sua Campaspe, e deulha alegremente,;Da sua Campaspe, & deulha alegremente
Canto 10, estrofe 48, verso 3;Não sendo seu soldado esprimentado,;Nam sendo seu soldado esprimentado,
Canto 10, estrofe 48, verso 4;Nem vendose num cerco duro & vrgente:;Nem vendose num cerco ditro & vrgente:
Canto 10, estrofe 49, verso 1;Mas vendo o Illustre Persa, que vencido;Mas vendo o lllustre Persa, que vencido
Canto 10, estrofe 49, verso 4;Delle num caso grande em recompensa.;Delle num coso grande em recompensa:
Canto 10, estrofe 49, verso 5;Per força de Iudita foy marido;Per força de sudita foy marido
Canto 10, estrofe 49, verso 6;O ferreo Balduuino, mas dispensa;O ferreo Baldouino, mas dispensa
Canto 10, estrofe 49, verso 8;Que viva, & pouoador seja de Frandes.;Que viua, & pouoador seja de Frandes,
Canto 10, estrofe 50, verso 3;Faria tremolar, & por espanto,;Faria tremolar & por espanto
Canto 10, estrofe 50, verso 5;Medina abominabil teme tanto,;Midina abominabil teme tanto,
Canto 10, estrofe 50, verso 6;Quanto Meca, & Gidâ, coas derradeiras;Quanto Meca, & Gidá, coas derradeiras
Canto 10, estrofe 50, verso 7;Prayas de Abasia: Barborâ se teme,;Prayas de Abasia: Barborá se teme,
Canto 10, estrofe 51, verso 2;Ia pello nome antigo tão famosa,;Ia pello nome antigo tam famosa,
Canto 10, estrofe 51, verso 3;Quanto agora soberba, & soberena,;Quanto agora soberba & soberana,
Canto 10, estrofe 51, verso 5;Della dar âtributo aa Lusitana;Della dara tributo aa Lusitana
Canto 10, estrofe 51, verso 6;Bandeira, quando excelsa, & gloriosa;Bandeira, quando excelsa & gloriosa
Canto 10, estrofe 51, verso 7;Vencendo se erguerâ na torre erguida,;Vencendo se erguerà na torre erguida,
Canto 10, estrofe 52, verso 1;Tambem Sequeira as ondas Eritreas;Tambem Sequeira as ondas Eritreas.
Canto 10, estrofe 52, verso 2;Diuidindo, abrirâ nouo caminho,;Diuidindo abrira nouo caminho,
Canto 10, estrofe 52, verso 3;Pera ti grande Imperio que te arreas;Pera ti grande imperio que te arreas
Canto 10, estrofe 52, verso 4;De seres de Candace, & Sabâ ninho:;De seres de Candace & Sobá ninho:
Canto 10, estrofe 52, verso 6;Verâ, e o porto Arquico ali vizinho,;Vera, & o porto Arquico ali vizinho
Canto 10, estrofe 52, verso 8;Que dāo ao mundo nouas marauilhas.;Que dam ao mundo nouas marauilhas.
Canto 10, estrofe 53, verso 1;Virâ despois Meneses, cujo ferro;Vira despois Meneses, cujo ferro
Canto 10, estrofe 53, verso 2;Mais na Africa, que câ terâ prouado:;Mais na Africa que cà tera prouado:
Canto 10, estrofe 53, verso 3;Castigarâ de Ormuz Soberba o erro,;Castigara de Ormuz Soberba o erro,
Canto 10, estrofe 53, verso 6;Em que estâs, e serâs inda tornado,;Em que estàs & seras inda tornado,
Canto 10, estrofe 53, verso 7;Cos titolos de Conde, & dhonras nobres,;Cos titolos de Conde & dhonras nobres,
Canto 10, estrofe 53, verso 8;Virâs mandar a terra que descobres.;Viras mandar a terra que descobres.
Canto 10, estrofe 54, verso 2;De quem ninguem se exime dos humanos,;De' quem ninguem se exime dos humanos,
Canto 10, estrofe 54, verso 4;Te tirarâ do mundo & seus enganos:;Te tirara do mundo & seus enganos:
Canto 10, estrofe 54, verso 6;He mayor na prudencia, que nos anos,;He mayor ita prudencia que nos anos,
Canto 10, estrofe 54, verso 7;Gouenarâ, & farà o ditoso Henrique,;Gouernarà & fara o ditoso Henrique,
Canto 10, estrofe 55, verso 1;Não vencerâ somente os Malabares,;Não vencera somente os Malabares,
Canto 10, estrofe 55, verso 6;Vence os inimigos dalma todos sete,;Vence os immigos dalma todos sete
Canto 10, estrofe 55, verso 7;De cubiça triumpha, & incontinencia,;De cubiça triumpha & incontinencia,
Canto 10, estrofe 56, verso 2;Socederâs ô forte Mazcarenhas,;Socederas ô forte Mazcarenhas,
Canto 10, estrofe 57, verso 1;No reino de Bintão, que tantos danos;No reino de Bintam, que tantos danos
Canto 10, estrofe 57, verso 2;Terâ a Malaca muito tempo feitos,;Tera a Malaca muito tempo feitos,
Canto 10, estrofe 57, verso 4;Vingarâs, co valor de illustres peitos,;Vingaras, co valor de illustres peitos,
Canto 10, estrofe 58, verso 1;Mas na India cubiça & ambição,;Mas na India cubiça & ambiçam,
Canto 10, estrofe 58, verso 3;Contra Deos, & Iustiça, te farão;Contra Deos, & Iustiça te faram
Canto 10, estrofe 58, verso 5;Quem faz injuria vil, & sem rezão;Quem faz injuria vil, & sem rezam
Canto 10, estrofe 58, verso 6;Com forças & poder, em que estâ posto,;Com forças & poder, em que està posto,
Canto 10, estrofe 58, verso 7;Não vence, que a vitoria verdadeira,;Nam vence, que a vitoria verdadeira,
Canto 10, estrofe 58, verso 8;He saber ter justiça nua, & inteira.;He saber ter justiça nua & inteira.
Canto 10, estrofe 59, verso 1;Mas com tudo não nego que Sampayo;Mas com tudo nam nego que Sampayo
Canto 10, estrofe 59, verso 2;Sera no esforço illustre, e asinalado,;Sera no esforço illustre & assinalado
Canto 10, estrofe 59, verso 3;Mostrando se no mar hum fero rayo,;Mostrandose no mar hum fero rayo,
Canto 10, estrofe 59, verso 4;Que de inimigos mil verâ qualhado:;Que de immigos mil vera qualhado:
Canto 10, estrofe 59, verso 5;Em Bacanôr farâ cruel ensayo;Em Bacanor fura cruel ensayo
Canto 10, estrofe 59, verso 8;Cutiâle, com quanta armada tenha.;Cutiále, com quanta armada tenha.
Canto 10, estrofe 60, verso 2;Que Chaul temerâ de grande & ousada,;Que Chaul temerà de grande & ousada,
Canto 10, estrofe 60, verso 3;Farâ coa vista so perdida & rota,;Fara coa vista so perdida & rota,
Canto 10, estrofe 60, verso 4;Por Heitor da Silueira, & destroçada:;Por Heitor da Silueira & destroçada:
Canto 10, estrofe 60, verso 5;Por Heitor Portugues, de quem se nota,;Por Heitor Portugues de quem se nota,
Canto 10, estrofe 60, verso 6;Que na Costa Cambaica sempre armada,;Que na Costa Cambaiça sempre armada,
Canto 10, estrofe 60, verso 7;Serâ aos Guzarates tanto dano,;Sera aos Guzarates tanto dano,
Canto 10, estrofe 61, verso 1;A Sampayo feroz socederà;A Sampayo feroz socederá
Canto 10, estrofe 61, verso 2;Cunha, que longo tempo tem o leme,;Cunha, que longo tempo tem o leme
Canto 10, estrofe 61, verso 3;De Chale as torres altas erguerâ,;De Chale as torres altas erguerà
Canto 10, estrofe 61, verso 5;O forte Baçaîm se lhe darâ,;O forte Baçaîm se lhe darà,
Canto 10, estrofe 61, verso 6;Não sem sangue porem, que nelle geme;Nam sem sangue porem que nelle geme
Canto 10, estrofe 62, verso 1;Tras este vem Noronha, cujo Auspicio;Tras este vem Noronha, cujo auspicio
Canto 10, estrofe 62, verso 5;Farâ em Noronha a morte o vsado officio,;Fara em Noronha a morte o vsado officio,
Canto 10, estrofe 62, verso 6;Quando hum teu ramo, ô Gama, se esprimẽta;Quando hum teu ramo, ò Gama, se esprimẽta
Canto 10, estrofe 62, verso 7;No gouerno do Imperio, cujo zelo;No gouero do Imperio, cujo zelo
Canto 10, estrofe 62, verso 8;Com medo o roxo mar farâ amarelo,;Com medo o roxo mar fara amarelo.
Canto 10, estrofe 63, verso 1;Das mãos do teu Esteuão vem tomar;Das mãos do ter Esteuão vem tomar
Canto 10, estrofe 63, verso 6;O muro de Dâmão soberbo & armado,;O muro de Dàmão soberbo & armado,
Canto 10, estrofe 63, verso 8;Que fogo & frechas mil terão cuberta.;Que fogo & frechas mil teram cuberta.
Canto 10, estrofe 64, verso 5;Despois yrà com peito esforçadissimo;Despois yra com peito esforçadissimo
Canto 10, estrofe 64, verso 6;A tolher que não passe o Rey Gentio;A tolher que nam passe o Rey Genitio
Canto 10, estrofe 64, verso 8;O farâ retirar de sangue cheyo.;O fara retirar de sangue cheyo.
Canto 10, estrofe 65, verso 1;Destroirâ a cidade Repelim,;Destroirà cidade Repelim,
Canto 10, estrofe 65, verso 3;E despois junto ao Cabo Comorim;E despois junto ao cabo Comorim
Canto 10, estrofe 65, verso 5;A frota principal do Samorim,;A frota principal, do Samorim,
Canto 10, estrofe 65, verso 6;Que destroir o mundo não duuida,;Que destroir o mundo nam duuida,
Canto 10, estrofe 65, verso 7;Vencerâ co furor do ferro e fogo,;Vencerà co furor do ferro & fogo,
Canto 10, estrofe 65, verso 8;Em si verâ Beadâla o Marcio jogo.;Em sivera Beadàla o Marcio jogo.
Canto 10, estrofe 66, verso 1;Tendo assi limpa a India dos immigos,;Tendo assi limpa a lndia dos immigos,
Canto 10, estrofe 66, verso 2;Virâ despois com cetro a gouernala,;Vira despois com cetro a gouernala,
Canto 10, estrofe 66, verso 3;Sem que ache resistencia, nem perigos,;Sem que ache resistencia nem perigos,
Canto 10, estrofe 66, verso 4;Que todos tremem delle, & nenhum fala:;Que todos tremem delle & nenhum fala:
Canto 10, estrofe 66, verso 6;Baticalâ, que virâ ja Beadala,;Baticalá, que virà ja de Beadala,
Canto 10, estrofe 66, verso 7;De sangue & corpos mortos ficou chea,;De sangue & corpos mortos ficou chea
Canto 10, estrofe 66, verso 8;E de fogo e trouoẽs desfeita & fea.;E de fogo & trouões desfeita & fea.
Canto 10, estrofe 67, verso 6;Portugues terâ sempre levantado,;Portugues tera sempre leuantado,
Canto 10, estrofe 67, verso 7;Conforme successor ao succediso;Conforme successor ao succedido
Canto 10, estrofe 67, verso 8;Que hum ergue Dio, outro o defende erguido.;Que hũ ergue Dio, outro o defende erguido.
Canto 10, estrofe 68, verso 4;Que mil naçoẽs ao cerco feras vem;Que mil nações ao cerco feras vem
Canto 10, estrofe 68, verso 5;Farão dos ceos ao mundo vãos queixumes;Faram dos ceos ao mundo vãos queixumes
Canto 10, estrofe 69, verso 1;Basiliscos medonhos & Liōes,;Basiliscos medonhos & Liões,
Canto 10, estrofe 70, verso 1;Fernando hum delles, ramo da alta pranta,;Fernando hum delles, ramo da alta pronta,
Canto 10, estrofe 70, verso 4;Serâ ali arrebatado, & ao ceo subido:;Sera ali arrebatado, & ao ceo sobido:
Canto 10, estrofe 71, verso 2;Co restante da gente Lusitana;Com restante da gente Lusitana
Canto 10, estrofe 71, verso 4;Batalha dá felice & soberana:;Batalha dà felice & soberana:
Canto 10, estrofe 71, verso 5;Hũs paredes subindo escusam porta,;Hũs paredes subindo escusam porta
Canto 10, estrofe 71, verso 6;Outros a abrem, na fera esquadra insana,;Outros a abrem, na fera esquadra insana
Canto 10, estrofe 71, verso 7;Feitos farão tão dinos de memoria,;Feitos faram tam dinos de memoria,
Canto 10, estrofe 71, verso 8;Que não caibão em vêrso, ou larga historia.;Que nam cuibam em verso, ou larga historia.
Canto 10, estrofe 72, verso 2;Vencedor forte & intrepido, ao possante;Vencedor forte & intrepido ao possante
Canto 10, estrofe 72, verso 7;Que castigando vay Dâbul na costa;Que castigando vay Dábul na costa
Canto 10, estrofe 72, verso 8;Nem lhe escapou Pondâ no sertão posta.;Nem lhe escapou Pondà no sertão posta.
Canto 10, estrofe 73, verso 1;Estes & outros Baroẽs por varias partes,;Estes & outros Barões por varias partes
Canto 10, estrofe 73, verso 4;Virão lograr os gostos desta Ilha:;Viram lograr os gostos desta llha:
Canto 10, estrofe 73, verso 6;Pellas ondas, que corta a aguda quilha,;Pellas ondas, que corta a aguda quilha
Canto 10, estrofe 74, verso 2;Com sonoroso aplauso vozes dauão,;Com sonoroso aplauso vozes dauam,
Canto 10, estrofe 74, verso 4;Que com tanto prazer se celebrauão:;Que com tanto prazer se celebrauam:
Canto 10, estrofe 74, verso 6;Nũa consona voz todas soauão,;Nũa consona voz todas soauam,
Canto 10, estrofe 74, verso 7;Não vos hão de faltar, gente famosa,;Nam vos hão de faltar, gente famosa,
Canto 10, estrofe 75, verso 4;Virão os altos feitos, que descobre,;Virão os altos feitos, que descobre
Canto 10, estrofe 75, verso 7;As festas deste alegre & claro dia,;As festas deste alegre & claro dia
Canto 10, estrofe 76, verso 3;Veres, o que não pode a vã ciencia;Veres, o que nam pode a vã ciencia
Canto 10, estrofe 76, verso 5;Sigueme firme, & forte, com prudencia;Sigueme firme & forte com prudencia
Canto 10, estrofe 76, verso 6;Por este monte espesso, tu cos mais.;Por este monte espesso, tu cos mais:
Canto 10, estrofe 77, verso 1;Não andão muito que no erguido cume;Nam andão muito que no erguido cume
Canto 10, estrofe 78, verso 1;Qual a materia seja não se enxerga,;Qual a materia seja nam se enxergà,
Canto 10, estrofe 78, verso 2;Mas enxergasse bem que estâ composto;Mas enxergasse bem que está composto
Canto 10, estrofe 79, verso 6;Em pequeno volume aqui te dou,;Em pequeno volume aqui te dou
Canto 10, estrofe 79, verso 8;Por onde vas, & yrâs, & o que desejas.;Por onde vas, & yras, & o que desejas.
Canto 10, estrofe 80, verso 6;Globo, & sua superficia tão limada,;Globo, & sua superficia tam limada,
Canto 10, estrofe 80, verso 7;He Deos, mas o q̄ he Deos ninguẽ o entende,;He Deos, mas o q̃ he Deos ninguẽ o entende,
Canto 10, estrofe 81, verso 3;Que estâ com luz tão clara radiando,;Que està com luz tão clara radiando,
Canto 10, estrofe 81, verso 4;Que a vista cega, & a mente vil tambem,;lue a vista cega, & a mente vil tambem
Canto 10, estrofe 82, verso 2;Diuos estão, porque eu, Saturno & Iano,;Diuos estão, porque eu, Saturno & Iano
Canto 10, estrofe 82, verso 3;Iupiter, Iuno, fomos fabulosos;lupiter, luno, fomos fabulosos
Canto 10, estrofe 83, verso 2;Que em Iupiter aqui se representa,;Que em lupiter aqui se representa,
Canto 10, estrofe 83, verso 8;Os maos, em quanto podem, nos ompecem.;Os maos, em quanto podeɯ nos empecem.
Canto 10, estrofe 84, verso 1;Quer logo aqui a pintura que varîa,;Quer logo aqui a pintura que varia,
Canto 10, estrofe 84, verso 6;Deoses o sacro verso estâ chamando,;Deoses o sacro verso està chamando,
Canto 10, estrofe 84, verso 8;Tambem aos maos se dà, mas falsamente.;Tambem aos maos se dá, mas falsamente:
Canto 10, estrofe 85, verso 6;Almas diuinas gozão, que não anda,;Almas diuinas gozão, que nam anda,
Canto 10, estrofe 85, verso 7;Outro corre tam leue & tam ligeiro,;Outra corre tam leue & tam ligeiro,
Canto 10, estrofe 86, verso 1;Com este rapto, & grande mouimento,;Com este rapto & gran le mouimento,
Canto 10, estrofe 86, verso 2;Vão todos os que dentro tem no seyo,;Vão todos os que dentro tem no seyo
Canto 10, estrofe 86, verso 3;Por obra deste, o Sol andando atento;Por obra deste, o Sol andando a tento
Canto 10, estrofe 86, verso 7;Que em quanto Phebo, de luz nunca escasso,;Que em quanto Phebo, de luz nunca escasso
Canto 10, estrofe 86, verso 8;Dozentos cursos faz, dâ elle hum passo.;Dozentos cursos faz, da elle hum passo.
Canto 10, estrofe 87, verso 5;Bem ves como se veste, & faz ornado;Bem ves tomo se veste & faz ornado
Canto 10, estrofe 87, verso 6;Co largo cinto douro, que estellantes;Co largo cinto douro, que estrellantes
Canto 10, estrofe 88, verso 1;Olha por outras partes a pintura,;Olha por outras partes a pinturà,
Canto 10, estrofe 88, verso 4;Andromeda, & seu pay, & o drago borrẽdo:;Andromeda, & seu pay & o drago horrẽdo:
Canto 10, estrofe 88, verso 5;Vê de Cassiopea a fermosura,;Vè de Cassiopea a fermosura,
Canto 10, estrofe 88, verso 7;Olba o Cisne morrendo que sospira,;Olha o Cisne morrendo que sospira,
Canto 10, estrofe 88, verso 8;A Lebre, & os Cães, a Nao, & a doce Lira.;A Lebre, os Cães, a Nao, & a doce Lira.
Canto 10, estrofe 89, verso 1;Debaxo deste grande firmamento,;Debaxa deste grande firmamento,
Canto 10, estrofe 89, verso 2;Ves o ceo de Saturno Deos antigo,;Ves o ceo Saturno Deos antigo,
Canto 10, estrofe 89, verso 3;Iupîter logo faz o mouimento,;Iupiter logo faz o mouimento,
Canto 10, estrofe 89, verso 5;O claro olho do ceo no quarto assento,;O claro olho do ceo no quarto, assento,
Canto 10, estrofe 89, verso 8;Com tres rostos debaxo vay Diana.;Com tres rostos debaixo vay Diana.
Canto 10, estrofe 90, verso 1;Em todos estes orbes, differente;Fn todos estes orbes, differente
