Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 1, estrofe 53, verso 1;Somos, hum dos das Ilhas lhe tornou,;Somos, hum dos das Ilhas, lhe tornou,
Canto 1, estrofe 53, verso 5;Nos temos a Lei certa que insinou,;Nos temos a Lei certa que ensinou,
Canto 1, estrofe 55, verso 5;Tambem será bemfeito que tenhais,;Tambem sera bem feito que tenhais,
Canto 1, estrofe 56, verso 6;Co carro de Christal, o claro dia:;Co carro de Christal, o claro dia.
Canto 1, estrofe 57, verso 3;Por acharem da terra tão remota,;Por acharem da terra tam remota,
Canto 1, estrofe 57, verso 5;Qualquer então consigo cuyda, & nota;Qualquer entam consigo cuyda, & nota
Canto 1, estrofe 57, verso 7;E como os que na errada Seita crêrão;E como os que na errada Seita crèrão,
Canto 1, estrofe 57, verso 8;Tanto por todo o mundo se estendêrão.;Tanto por todo o mundo se estendèram.
Canto 1, estrofe 59, verso 6;E de todos alegres se adornou:;E de toldos alegres se adornou:
Canto 1, estrofe 60, verso 5;Que os apousentos Caspios habitando,;Que os apousentos Caspios habitando.
Canto 1, estrofe 60, verso 8;O Imperio tomarão a Costantino.;O Imperio tomáram a Costantino.
Canto 1, estrofe 61, verso 6;Não vsado licor que dâ alegria.;Nam vsado licor que dá alegria.
Canto 1, estrofe 62, verso 4;E a lingoagem tam barbara & enleada.;E a lingoagem tam barbara, & enleada.
Canto 1, estrofe 62, verso 5;Tambem o Mouro astuto està confuso,;Tambem o Mouro astuto está confuso,
Canto 1, estrofe 62, verso 8;Se porventura vinhão de Turquia.;Se porventura vinham de Turquia.
Canto 1, estrofe 63, verso 2;Os liuros de sua ley, preceito, ou fê,;Os liuros de sua ley, preceito, ou fè,
Canto 1, estrofe 63, verso 6;Ao Capitão pedia, que lhe dê,;Ao Capitão pedia, que lhe dè,
Canto 1, estrofe 64, verso 1;Responde o valeroso Capitão,;Respondeo ô valeroso Capitão,
Canto 1, estrofe 64, verso 2;Por hum que a lingoa escura bem sabia.;Por hum que a lingoa escura bem sabia:
Canto 1, estrofe 65, verso 8;Por subir os mortais da terra ao ceo.;Por sobir os mortais da terra ao ceo.
Canto 1, estrofe 66, verso 2;Os Liuros que tu pedes, nam trazia,;Os liuros que tu pedes nam trazia,
Canto 1, estrofe 67, verso 8;Partasanas agudas, chuças brauas.;Partasanas agudas, chuças brauas,
Canto 1, estrofe 68, verso 2;As panellas sulfureas, tam danosas,;As panellas sulfuneas, tam danosas,
Canto 1, estrofe 69, verso 4;Hũa vontade mà de pensamento.;Hũa vontade má de pensamento.
Canto 1, estrofe 69, verso 7;Tratalos brandamente determina,;Tratallos brandamente determina,
Canto 1, estrofe 70, verso 6;De peito venenoso, & tão danado:;De peito venenoso, & tam danado:
Canto 1, estrofe 71, verso 5;Os segredos daquella Eternidade;Os segredos daquella Eternidade,
Canto 1, estrofe 71, verso 6;A quem juyzo algum não alcançou.;A quem juyzo algum nam alcançou.
Canto 1, estrofe 72, verso 5;Cortarão os bateis a curta via;Cortàram os bateis a curta via
Canto 1, estrofe 72, verso 8;Se foy o Mouro ao cognito apousento:;Se foy o Mouro ao cognito aposento.
Canto 1, estrofe 73, verso 1;Do claro assento Etereo, o grão Tebano,;Do claro assento Etereo, o gram Tebano,
Canto 1, estrofe 73, verso 2;Que da paternal coxa foy nascido;Que da paternal coxa foy nascido,
Canto 1, estrofe 74, verso 3;Ajão os Portugueses alcançado,;Ajam os Portugueses alcansado,
Canto 1, estrofe 75, verso 4;Debaixo do seu jugo, o fero Marte:;Debaixo de seu jugo, o fero Marte:
Canto 1, estrofe 78, verso 6;Correndo a fama veio, que roubadas,;Correndo a fama veio, que roubadas
Canto 1, estrofe 78, verso 7;Forão por estes homẽs que passauão,;Forão por estes homẽs que passauam,
Canto 1, estrofe 78, verso 8;Que com pactos de paz sempre ancorauão.;Que com pactos de paz sempre ancorauam.
Canto 1, estrofe 79, verso 6;Contra nos, & que todos seus intentos;Contra nòs, & que todos seus intentos
Canto 1, estrofe 80, verso 3;O Capitão dos seus acomponhado,;O Capitão dos seus acompanhado,
Canto 1, estrofe 80, verso 6;Esperallo em cilada, occulto & quedo:;Esperallo em cilado, occulto & quedo:
Canto 1, estrofe 81, verso 1;E se inda não ficarem deste geito,;E se inda nam ficarem deste geito,
Canto 1, estrofe 81, verso 7;Que os leue aonde sejão destruydos,;Que os leue aonde sejam destruydos,
Canto 1, estrofe 81, verso 8;Desbaratados mortos, ou perdidos.;Desbaratados, mortos, ou perdidos.
Canto 1, estrofe 82, verso 2;O Mouro nos tais casos, sabio & velho;O Mouro nos taes casos, sabio & velho
Canto 1, estrofe 83, verso 3;Sagaz, astuto, & sabio em todo o dano;Sagaz, astuto, & sabio em todo dano,
Canto 1, estrofe 83, verso 5;Diz lhe que acompanhando o Lusitano,;Dizlhe que acompanhando o Lusitano,
Canto 1, estrofe 84, verso 3;Quando Gama cos seus determinaua,;Quando Gama cos seus determinau
